,selector__k,model__alpha,model__l1_ratio,mean_test_score,std_test_score
0,1,0.1,0.8,7.353155263409864,1.459064324245645
1,2,0.1,0.1,7.1627276645883375,1.4200664210134355
2,3,0.2,0.7000000000000001,7.300253910798605,1.441096812396091
3,4,0.2,0.1,7.092928343614632,1.317827713085736
4,5,0.2,0.1,6.974160938451635,1.3622103087883304
5,6,0.2,0.1,6.930912951628775,1.4106420206121946
6,7,0.3,0.1,6.876512138750825,1.3841568377574789
7,8,0.3,0.1,6.8457822960847,1.3788612652570762
8,9,0.3,0.1,6.778325580767175,1.4383581547598785
9,10,0.3,0.1,6.77857300790156,1.4533466655556018
10,11,0.4,0.1,6.810688658297101,1.4431087027318472
11,12,0.4,0.1,6.838246831781537,1.4420111797370367
12,13,0.4,0.1,6.860258670110261,1.444943513293892
13,14,0.4,0.1,6.867067504299239,1.4434452183835438
14,15,0.4,0.1,6.877339239392312,1.4459019066265222
15,16,0.4,0.1,6.879530408391497,1.443600668868991
16,17,0.3,0.2,6.8814653386265885,1.4500507432953729
17,18,0.3,0.2,6.907727524891993,1.4809207666661115
18,19,0.3,0.2,6.9123112279328165,1.4775533604113755
19,20,0.3,0.2,6.91337902240748,1.48754990094664
20,21,0.3,0.2,6.925456058628843,1.4957848479043925
21,22,0.4,0.2,6.934933203921453,1.4783472358100886
22,23,0.4,0.3,6.971810296221303,1.47593632810088
23,24,0.4,0.3,6.977204505827928,1.4746744146130184
24,25,0.5,0.3,6.991127410403558,1.4443838491053205
25,26,0.4,0.4,6.99376281095202,1.4574838635507967
26,27,0.4,0.4,6.998010886938594,1.4592804792510616
27,28,0.4,0.4,7.000370959777236,1.4632742996335395
28,29,0.4,0.5,7.007521613540022,1.4508235154224445
29,30,0.4,0.5,7.008854550045834,1.4519519921445987
30,31,0.4,0.5,7.011174080831758,1.453441680938091
31,32,0.4,0.5,7.013845753081199,1.4541745010346132
32,33,0.4,0.5,7.014230184351582,1.4543128861023151
33,34,0.4,0.5,7.014212585869569,1.4542973790270195
