,outer_score,inner_score,params
0,7.562235261471628,6.628017958809719,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 11}"
1,4.657494562291448,7.5108150251667825,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 11}"
2,8.815605479243677,6.238165604529801,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
3,7.5653561493179105,6.523318774570161,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
4,6.171615540828042,7.056086808894628,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 7}"
5,6.489925043630926,6.901257798273861,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 10}"
6,7.039894753282767,6.677838877774717,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
7,8.379852888631806,6.2972831181715705,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 9}"
8,5.748742907723804,7.038116463607889,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
9,5.833252044724111,7.0516263454230295,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
10,8.145134643419157,6.385293594028492,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 10}"
11,6.89766086267405,6.90809665536902,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 11}"
12,7.958450382755426,6.61666598619674,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 11}"
13,6.518867124020232,6.822701859317152,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
14,4.8488296891318905,7.256911694672252,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
15,5.661902103150898,7.061142932619954,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
16,5.677891775586095,7.137594314893927,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 8}"
17,5.099623003955948,7.2740671929152745,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
18,7.3814101651427215,6.746062289482681,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 7}"
19,10.335024236816635,5.768734915567244,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 8}"
20,5.855820580171175,6.917060994046128,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
21,7.019622244082313,6.677042592350258,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
22,8.174155189374885,6.579874870329154,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
23,6.71610497507385,6.755108599289859,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
24,5.5717231128786056,7.0261713330719635,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
25,5.764394283988893,7.150939310452976,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
26,7.027951902654553,6.672363636388161,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
27,6.293917585929675,6.966857735053827,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 11}"
28,8.913627377371265,6.200688995350931,"{'model__alpha': 0.2, 'model__l1_ratio': 0.2, 'selector__k': 8}"
29,5.421994839311309,7.1025356923217995,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
30,5.710369211193669,7.124157614432013,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
31,6.599781172288413,6.7678819033986075,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
32,9.318207398009262,6.252856997026546,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 11}"
33,6.621516982320325,6.828164259799592,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
34,6.151315916302736,7.0595348790449,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
35,7.173945320507292,6.794250835560962,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
36,5.025175769201899,7.275712587027173,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 8}"
37,5.277799721150004,7.110851771683486,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
38,10.35198605327438,5.901441010522042,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 10}"
39,6.610881488059242,6.8539631954818026,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
40,9.278202827936145,6.059835239230187,"{'model__alpha': 0.2, 'model__l1_ratio': 0.1, 'selector__k': 9}"
41,3.2935085877234873,7.652093490626396,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
42,8.155361651473983,6.557246241000518,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 9}"
43,8.282390105731805,6.568285465444535,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9, 'selector__k': 7}"
44,6.07514825362672,6.962430962546465,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
45,8.079949138493173,6.404037563969917,"{'model__alpha': 0.1, 'model__l1_ratio': 0.1, 'selector__k': 9}"
46,5.58492412603685,7.085373846686838,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
47,7.579349611246824,6.7161798938283646,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
48,5.560190930065935,7.101376054760516,"{'model__alpha': 0.30000000000000004, 'model__l1_ratio': 0.1, 'selector__k': 9}"
49,7.812759732608847,6.5361728543553514,"{'model__alpha': 0.4, 'model__l1_ratio': 0.1, 'selector__k': 10}"
