en,sv,rf,gb,lr_fs,en_fs,sv_fs,rf_fs,gb_fs
7.625778575,7.909859509,6.926509261,7.208786929,7.56538919,7.562235261,6.812555596,6.944427621,6.903168698
5.279239027,4.726870685,4.908371651,5.8222537,4.458670086,4.657494562,5.034126024,5.088187828,5.823224573
8.927242145,8.466548099,8.918688399,9.199469625,8.840004424,8.815605479,8.523789979,9.006534933,8.839813746
8.108948289,8.009157722,8.331075914,8.145420338,7.452234043,7.565356149,7.489583404,7.538885556,7.498761589
6.078702517,6.022980728,6.578227154,6.325011335,6.411649889,6.171615541,6.835824758,6.304966753,6.231666419
6.972555599,7.072311387,7.546395589,7.699558484,6.822931459,6.489925044,6.665425181,7.381273122,7.11421891
7.812183519,8.46544488,7.775002307,7.928749759,7.46882869,7.039894753,7.132906468,7.122013571,7.735476782
8.34232368,8.311401644,8.141307567,7.991861553,8.802758059,8.379852889,8.34436405,7.902279155,8.035623202
6.032317059,5.794395996,5.8790012,5.67032635,5.588336802,5.748742908,6.278479005,5.863175924,5.708055155
5.914691444,6.246430758,5.445336437,5.532708871,6.640907541,5.833252045,5.73832218,5.950471358,5.4678466
8.365302425,8.519416744,8.121146194,7.810726282,8.616391333,8.145134643,8.18347184,8.107516981,7.902768869
6.656600823,7.185256687,6.964518547,6.818566567,6.797742442,6.897660863,7.304745888,7.121440494,6.591616689
8.126191936,8.711951216,8.469835467,8.35809219,8.149692908,7.958450383,8.289745741,8.306866161,8.732922957
7.175117577,6.600027475,7.528604906,6.790122462,6.516701814,6.518867124,6.654796882,6.970575638,6.461821526
5.625922035,6.151617268,4.802702837,5.392426927,4.941828022,4.848829689,5.608101985,5.366568573,5.193699457
5.944618987,5.646011483,6.069312677,5.841387871,5.986388623,5.661902103,5.886693013,5.642733267,5.777147242
5.796710772,6.139481554,4.978780226,5.156618998,5.702939102,5.677891776,5.44382953,5.048039559,5.038531728
5.333078589,5.367300274,5.683741266,6.120024714,4.7805012,5.099623004,5.376311495,5.378477462,4.993158171
7.414703297,7.006917659,7.829213307,8.094422437,7.540806533,7.381410165,7.840747971,7.918824502,9.028756177
10.68571416,10.78217042,10.48481674,10.46050048,10.69707458,10.33502424,10.36283293,10.28893222,10.67393059
6.194000362,6.551410377,5.604754065,6.065432093,5.918346631,5.85582058,5.926174823,5.522942497,5.838739017
7.151186413,7.730724344,7.056719237,7.613356271,7.599097707,7.019622244,7.635526563,7.341375266,7.271164919
8.921260477,8.319075605,8.482390085,8.174099933,8.026246615,8.174155189,8.215203821,7.820360939,7.114652283
6.942021149,7.011282532,7.316064731,7.130582806,7.273037915,6.716104975,6.679482541,6.966804662,6.45329844
6.062670514,6.168886612,5.869293964,5.98289738,5.81529559,5.571723113,5.710031123,5.853851134,5.904538234
5.844575461,6.383058925,6.141298987,5.948000182,6.234005214,5.764394284,7.783593236,6.051597951,5.733890724
7.102456214,7.199542717,6.784517207,7.054971741,7.034351518,7.027951903,6.995438407,6.310030325,6.851860066
6.241873077,6.530642545,5.84697071,5.712680222,6.248634379,6.293917586,6.205329667,5.682213001,5.450600882
9.328430952,9.349605713,8.834130444,9.122007202,8.902161512,8.913627377,8.896798916,8.812418359,8.734191707
5.628323114,6.064690111,5.891943761,6.051404832,5.6454113,5.421994839,6.257793556,5.883174689,6.14626624
6.106653209,5.874488451,6.058033825,5.397862212,5.905047848,5.710369211,6.100703465,6.053167508,5.835011025
7.277385782,7.639748275,6.956285475,6.797138139,6.98646648,6.599781172,6.804677682,6.118173887,6.779959818
9.537856867,9.602509668,9.211057339,9.122022401,9.953135277,9.318207398,10.17950282,9.452006747,9.263853834
6.506550384,5.928792191,6.048329159,5.937975027,6.872015613,6.621516982,6.186136735,6.247055696,6.189925476
6.228208959,6.369579321,6.649615453,7.558620305,6.511324038,6.151315916,6.966618873,6.805454053,7.324141815
7.212648637,8.916666287,7.619058691,7.861286396,7.025441728,7.173945321,8.125799453,7.959529406,7.434249304
5.827678742,5.55324861,6.024048116,5.711815111,4.730871612,5.025175769,5.097600073,5.632054495,5.495655731
5.195683968,5.168822669,6.170257508,5.698434411,5.17884475,5.277799721,5.506823213,5.588745472,5.436883639
10.22969872,11.31469913,10.57269114,11.78462411,10.88910921,10.35198605,10.45336829,10.3231676,9.979401015
6.969997963,7.013507343,7.009577983,6.35452158,6.781516416,6.610881488,6.945678252,6.468182735,6.434515896
9.380539991,8.92533323,8.624592894,8.245404946,9.536169498,9.278202828,9.779941565,8.743079259,8.521064034
3.471277565,4.050299927,4.273198545,4.106363243,3.52428445,3.293508588,4.16834786,4.015242413,4.223211824
9.385601272,10.32933839,8.50303249,8.057545436,7.836804478,8.155361651,8.285687294,8.244481796,7.76528517
8.013384166,7.629337268,7.350496996,8.384645631,8.464790794,8.282390106,8.869984529,7.806355951,7.333979209
6.481547255,6.528267742,6.1211723,6.096848305,6.124208613,6.075148254,6.232076294,5.58541306,5.713676401
9.14753519,9.16058083,7.383317233,8.128272284,9.12395298,8.079949138,7.773738762,7.345917271,7.933148838
6.058517632,6.503122382,6.229801431,6.006461031,5.873838505,5.584924126,6.309919437,5.900454402,6.111744989
8.285709907,8.692687323,8.299774369,7.709548587,7.555368796,7.579349611,7.725872433,7.25128509,6.760626575
5.817107919,5.714443651,6.004267608,6.486605974,5.584633226,5.56019093,5.903221717,6.06813661,6.381640368
8.211757402,7.913791619,8.214107809,7.980764326,7.791142646,7.812759733,7.913781939,8.413301127,8.382631825
